"","country","continent","subcontinent","pcgdp","hdi","polstab","goveff","corrupt","law","regul","voice","polity","demo","demindx","poverty","growth","homicide","politydem"
"105","Kuwait","Asia","Western Asia",52196.19921875,0.814000010490417,52,52,54,63,50,28,-7,"Non-Democratic",3.77999997138977,NA,3.59999990463257,0,0
"106","Kyrgyzstan","Asia","Central Asia",1282.40002441406,0.628000020980835,19,29,11,13,42,30,7,"Non-Democratic",4.69000005722046,NA,2,NA,7
"107","Laos","Asia","South-Eastern Asia",1652.90002441406,0.569000005722046,49,25,20,26,22,5,-7,"Non-Democratic",2.21000003814697,3.29999995231628,1.79999995231628,6,0
"108","Latvia","Europe","Northern Europe",15357.2998046875,0.810000002384186,65,76,64,73,80,70,8,"Democratic",7.05000019073486,NA,-1.10000002384186,5,8
"109","Lebanon","Asia","Western Asia",9928,0.764999985694885,6,42,18,25,50,34,7,"Non-Democratic",5.05000019073486,NA,1,NA,6
"110","Lesotho","Africa","Southern Africa",1035.30004882812,0.486000001430511,58,43,64,47,40,53,8,"Democratic",6.65999984741211,NA,1.10000002384186,NA,9
"111","Liberia","Africa","Western Africa",453.100006103516,0.412000000476837,31,9,29,19,21,33,6,"Non-Democratic",4.94999980926514,NA,2.40000009536743,3,7
"112","Libya","Africa","Northern Africa",10563.5,0.783999979496002,5,5,1,6,2,20,-7,"Non-Democratic",4.82000017166138,NA,0.800000011920929,2,NA
"113","Liechtenstein","Europe","Western Europe",NA,0.888999998569489,98,95,95,91,93,96,NA,NA,NA,NA,0.699999988079071,0,NA
"114","Lithuania","Europe","Northern Europe",15689,0.833999991416931,76,74,67,74,84,75,10,"Democratic",7.53999996185303,NA,-1,7,10
"115","Luxembourg","Europe","Western Europe",110664.796875,0.880999982357025,95,94,97,96,96,98,NA,NA,8.88000011444092,NA,2.29999995231628,NA,NA
"116","Macao","Asia","Eastern Asia",90600.3984375,NA,69,80,71,70,89,38,NA,NA,NA,NA,1.70000004768372,NA,NA
"117","Macedonia","Europe","Southern Europe",5109.89990234375,0.73199999332428,35,53,59,49,61,47,9,"Democratic",6.15999984741211,NA,0.100000001490116,NA,9
"118","Madagascar","Africa","Eastern Africa",463,0.497999995946884,23,14,27,20,28,27,0,"Non-Democratic",4.32000017166138,NA,2.79999995231628,11,4
